id1,id2,label 
MaryWaterhouse,Nimrod,1
MaryWaterhouse,Randy,1
MaryWaterhouse,Rod,5
MaryWaterhouse,RudolfvonHacklheber,1
MaryWaterhouse,Virginia,1
MaryWaterhouse,Yamamoto,1
McGee,Randy,2
McGee,Sean Daniel McGee,2
McGee,ThomasHoward,1
Mikulski,Monkberg,1
Mikulski,RudolfvonHacklheber,1
Monkberg,Yamashita,1
Montgomery,Yamamoto,2
MrsRamshaw,RudolfvonHacklheber,1
MrsTenney,RudolfvonHacklheber,2
MrWing,Randy,8
Nimrod,RonaldReagan,1
Nina,Randy,7
Nina,ThomasHoward,2
Nina,Tomas,1
Pekka,Randy,6
Pekka,ThomasHoward,6
Pekka,Virginia,1
Randy,RonaldReagan,1
Randy,RudolfvonHacklheber,3
Randy,Sean Daniel McGee,3
Randy,Steve,1
Randy,ThomasHoward,43
Randy,Tomas,1
Randy,Virginia,1
Randy,Yamamoto,3
Randy,Yamashita,1
RudolfvonHacklheber,Virginia,1
RudolfvonHacklheber,Welchman,1
RudolfvonHacklheber,Yamamoto,2
RudolfvonHacklheber,Yamashita,2
Schoen,Yamamoto,1
Sean Daniel McGee,ThomasHoward,2
Steve,ThomasHoward,1
ThomasHoward,Virginia,1
ThomasHoward,Yamashita,1
